CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Avg,Segment
12346,325,1,77183.6,1,1,5,115,2.3333333333333335,Hibernating
12347,2,7,4310,5,5,5,555,5,Champions
12348,75,4,1797.24,2,4,4,244,3.3333333333333335,Loyal Customers
12349,18,1,1757.55,4,1,4,414,3,New Customers
12350,310,1,334.4,1,1,2,112,1.3333333333333333,Hibernating
12352,36,8,2506.04,3,5,5,355,4.333333333333333,Loyal Customers
12353,204,1,89,1,1,1,111,1,Hibernating
12354,232,1,1079.4,1,1,4,114,2,Hibernating
12355,214,1,459.4,1,1,2,112,1.3333333333333333,Hibernating
12356,22,3,2811.43,4,3,5,435,4,Potential Loyalists
12357,33,1,6207.67,3,1,5,315,3,Promising
12358,1,2,1168.06,5,2,4,524,3.6666666666666665,New Customers
12359,57,4,6310.03,3,4,5,345,4,Loyal Customers
12360,52,3,2662.06,3,3,5,335,3.6666666666666665,Promising
12361,287,1,189.9,1,1,1,111,1,Hibernating
12362,3,10,5226.23,5,5,5,555,5,Champions
12363,109,2,552,2,2,3,223,2.3333333333333335,Hibernating
12364,7,4,1313.1,5,4,4,544,4.333333333333333,Champions
12365,291,2,641.38,1,2,3,123,2,Hibernating
12367,4,1,168.9,5,1,1,511,2.3333333333333335,New Customers
12370,51,4,3541.94,3,4,5,345,4,Loyal Customers
12371,44,2,1887.96,3,2,4,324,3,Promising
12372,71,3,1298.04,3,3,4,334,3.3333333333333335,Promising
12373,311,1,364.6,1,1,2,112,1.3333333333333333,Hibernating
12374,25,1,742.9300000000001,4,1,3,413,2.6666666666666665,New Customers
12375,10,2,457.5,5,2,2,522,3,New Customers
12377,315,2,1628.12,1,2,4,124,2.3333333333333335,Hibernating
12378,129,1,4008.62,2,1,5,215,2.6666666666666665,Hibernating
12379,81,2,852.24,2,2,3,223,2.3333333333333335,Hibernating
12380,21,4,2724.81,4,4,5,445,4.333333333333333,Champions
12381,4,5,1845.31,5,4,4,544,4.333333333333333,Champions
12383,184,5,1850.56,1,4,4,144,3,Loyal Customers
12384,28,2,585.27,4,2,3,423,3,New Customers
12386,337,2,401.9,1,2,2,122,1.6666666666666667,Hibernating
12388,15,6,2780.66,4,4,5,445,4.333333333333333,Champions
12390,79,1,549.84,2,1,3,213,2,Hibernating
12391,21,1,439.66,4,1,2,412,2.3333333333333335,New Customers
12393,72,4,1582.6000000000001,2,4,4,244,3.3333333333333335,Loyal Customers
12394,63,2,1272.48,3,2,4,324,3,Promising
12395,19,12,3018.63,4,5,5,455,4.666666666666667,Champions
12397,35,2,2409.9,3,2,5,325,3.3333333333333335,Promising
12398,45,1,1635.6599999999999,3,1,4,314,2.6666666666666665,Promising
12399,119,4,1108.65,2,4,4,244,3.3333333333333335,Loyal Customers
12401,303,1,84.3,1,1,1,111,1,Hibernating
12402,323,1,225.6,1,1,1,111,1,Hibernating
12403,49,1,427.7,3,1,2,312,2,Need Attention
12405,148,1,1710.39,2,1,4,214,2.3333333333333335,Hibernating
12406,22,2,3415.3,4,2,5,425,3.6666666666666665,New Customers
12407,49,5,1708.1200000000001,3,4,4,344,3.6666666666666665,Loyal Customers
12408,32,5,2888.55,4,4,5,445,4.333333333333333,Champions
12409,78,3,11072.67,2,3,5,235,3.3333333333333335,At Risk
12410,308,2,693.3299999999999,1,2,3,123,2,Hibernating
12412,74,3,1226.88,2,3,4,234,3,At Risk
12413,66,3,758.1,3,3,3,333,3,Promising
12414,217,3,562.41,1,3,3,133,2.3333333333333335,At Risk
12415,24,21,124914.53,4,5,5,455,4.666666666666667,Champions
12417,3,9,3649.1,5,5,5,555,5,Champions
12418,112,1,668.58,2,1,3,213,2,Hibernating
12420,63,1,600.39,3,1,3,313,2.3333333333333335,Promising
12421,15,4,807.04,4,4,3,443,3.6666666666666665,Potential Loyalists
12422,95,3,803.5600000000001,2,3,3,233,2.6666666666666665,At Risk
12423,0,8,1859.31,5,5,4,554,4.666666666666667,Champions
12424,162,2,1760.96,2,2,4,224,2.6666666666666665,Hibernating
12425,78,1,777.2,2,1,3,213,2,Hibernating
12426,194,1,582.73,1,1,3,113,1.6666666666666667,Hibernating
12427,21,3,825.8,4,3,3,433,3.3333333333333335,Potential Loyalists
12428,25,9,7956.46,4,5,5,455,4.666666666666667,Champions
12429,9,4,3750.4,5,4,5,545,4.666666666666667,Champions
12430,43,1,256.4,3,1,2,312,2,Need Attention
12431,35,15,6419.95,3,5,5,355,4.333333333333333,Loyal Customers
12432,42,5,5059.32,3,4,5,345,4,Loyal Customers
12433,0,7,13375.87,5,5,5,555,5,Champions
12434,84,2,806.14,2,2,3,223,2.3333333333333335,Hibernating
12435,79,2,7829.89,2,2,5,225,3,Hibernating
12436,99,1,509.01,2,1,3,213,2,Hibernating
12437,1,18,4951.41,5,5,5,555,5,Champions
